blcpar2,amazoňan modrolící
meapar,amazoňan pomoučený
fespar1,amazoňan modrobradý
licpar,amazoňan fialovotemenný
kawpar1,amazoňan Kawallův
cubpar1,amazoňan kubánský
scnpar1,amazoňan vojenský
ywcpar,amazoňan žlutohlavý
yehpar,amazoňan zlatohlavý
rebpar7,amazoňan červenočelý
tucpar1,amazoňan tukumanský
hispar1,amazoňan haitský
vinpar1,amazoňan fialovoprsý
recpar,amazoňan zelenolící
yelpar1,amazoňan černouchý
bratea1,kachnička amazonská
yebcac1,Yellow-billed Cacique
t-11838680,Clicker Round-winged Katydid
t-11851326,Common Virtuoso Katydid
t-11845584,Oblong-winged Katydid
t-11854789,Rattler Round-winged Katydid
golbow1,Golden Bowerbird
growea1,Grosbeak Weaver
schbla1,Scarlet-headed Blackbird
yebspa1,Yellow-browed Sparrow
graspa1,Grassland Sparrow
graspa,Grasshopper Sparrow
batlar1,skřivan pruhoocasý
deslar1,skřivan pouštní
rutlar2,Rufous-tailed Lark
gybant1,Gray-bellied Antbird
sstspa,Saltmarsh Sparrow
lecspa,LeConte's Sparrow
seaspa,Seaside Sparrow
nstspa,Nelson's Sparrow
scafru1,Scaled Fruiteater
reccot1,Red-crested Cotinga
chccot1,Chestnut-crested Cotinga
gyhant1,Gray-headed Antbird
bktspa,Black-throated Sparrow
fisspa,Five-striped Sparrow
whbfog1,White-browed Foliage-gleaner
obfgle2,Ochre-breasted Foliage-gleaner
rutfog1,Rufous-tailed Foliage-gleaner
mofgle1,Montane Foliage-gleaner
stfgle1,Scaly-throated Foliage-gleaner
ducfog1,Dusky-cheeked Foliage-gleaner
wcfgle1,White-collared Foliage-gleaner
abttyr1,Ash-breasted Tit-Tyrant
ybttyr1,Yellow-billed Tit-Tyrant
bkctit1,Black-crested Tit-Tyrant
tuttyr1,Tufted Tit-Tyrant
pcttyr1,Pied-crested Tit-Tyrant
norpin,ostralka štíhlá
spetea3,čírka andská
chetea1,čírka kaštanová
gnwtea,čírka obecná
mexduc,kachna mexická
yebtea1,čírka kropenatá
motduc,kachna pobřežní
yebpin1,ostralka žlutozobá
gretea1,čírka bělohrdlá
mallar3,kachna divoká
isbduc1,kachna skvrnozobá
ambduc,kachna tmavá
pabduc1,kachna pruhohlavá
yebduc1,kachna žlutozobá
hawduc,kachna havajská
spbduc,kachna čínská
asiope1,zejozob asijský
t-11847882,Say's Trig
t-11140103,American Toad
t-11050888,Yosemite Toad
t-11100978,Great Plains Toad
t-11132206,Fowler's Toad
t-11153124,Houston Toad
t-11160924,Arizona Toad
t-11107100,Oak Toad
t-11051816,Texas Toad
t-11045871,Southern Toad
t-11105570,Woodhouse's Toad
chwhoo1,Chestnut-winged Hookbill
gybmot1,tukan andský
pbmtou1,tukan modroprsý
bbmtou1,tukan černozobý
tobhum1,kolibřík háčkozobý
somgre1,Sombre Greenbul
horscr1,kamiš růžkatý
anhing,anhinga americká
darter2,anhinga indomalajská
darter4,anhinga australská
sbmtan1,Scarlet-bellied Mountain Tanager
lamtan1,Lacrimose Mountain Tanager
bwmtan1,Blue-winged Mountain Tanager
hyamac1,ara hyacintový
indmac1,ara kobaltový
buchor1,zoborožec hustovlasý
bugnod,nody šedý
blknod,nody bělotemenný
brnnod,nody obecný
lesnod1,nody tenkozobý
gwfgoo,husa běločelá
gragoo,husa velká
pifgoo,husa krátkozobá
snogoo,husa sněžní
empgoo,husa císařská
swagoo1,husa labutí
lwfgoo,husa malá
taibeg1,husa polní
bahgoo,husa tibetská
rosgoo,husa bělostná
tunbeg1,husa tundrová
maggoo1,husovec strakatý
whgfly1,White-gorgeted Flycatcher
rubfly3,Rufous-browed Flycatcher
orbsun2,Orange-breasted Sunbird
redwat1,Red Wattlebird
bruwat1,Little Wattlebird
litwat1,Western Wattlebird
yelwat1,Yellow Wattlebird
reghon1,Regent Honeyeater
nezbel1,New Zealand Bellbird
soptit1,Southern Penduline-Tit
mcptit1,Mouse-colored Penduline-Tit
orphor1,zoborožec bělolící
maphor1,zoborožec malabarský
blahor1,zoborožec malajský
bltman1,kolibřík tropický
pltsun2,Brown-throated Sunbird
kvbsun1,Eastern Violet-backed Sunbird
blucra2,jeřáb rajský
demcra1,jeřáb panenský
berpip1,linduška kanárská
parpip1,Paramo Pipit
tawpip1,linduška úhorní
retpip,linduška rudokrká
chapip1,Pampas Pipit
afrpip1,linduška pastvinná
corpip1,Correndera Pipit
yetpip1,Yellow-tufted Pipit
shbpip1,Short-billed Pipit
blypip1,linduška mongolská
pecpip,linduška sibiřská
helpip1,Hellmayr's Pipit
olbpip,linduška olivová
plbpip1,Plain-backed Pipit
strpip1,Striped Pipit
yelpip2,Yellowish Pipit
ocbpip1,Ochre-breasted Pipit
auspip1,New Zealand Pipit
yelpip3,Peruvian Pipit
rocpip1,linduška skalní
meapip1,linduška luční
ricpip1,linduška velká
rospip1,Rosy Pipit
amepip,linduška tundrová
oripip1,linduška rýžová
lobpip1,linduška dlouhozobá
watpip1,linduška horská
sprpip,Sprague's Pipit
uplpip1,Upland Pipit
trepip,linduška lesní
sarcra1,jeřáb Antigonin
sancra,jeřáb kanadský
brolga1,jeřáb australský
whncra1,jeřáb červenolící
araman1,Araripe Manakin
helman1,Helmeted Manakin
souwpw1,lelek volavý
yucnig1,lelek yukatanský
chwwid,lelek karolinský
purnig1,lelek portorický
bucnig,lelek středoamerický
rufnig1,lelek rezavý
tacnig1,lelek Salvinův
dusnig1,lelek šerý
sitnig1,lelek hedvábný
easwpw1,lelek křiklavý
firgat1,Firewood-gatherer
chhcra1,Chestnut-headed Crake
blbcra1,chřástal černopásý
ruccra1,Russet-crowned Crake
brhapa1,Brown-headed Apalis
chaapa1,Chapin's Apalis
gryapa1,Gray Apalis
yebapa1,Yellow-breasted Apalis
bltapa1,Black-throated Apalis
blhapa1,Black-headed Apalis
blfapa1,Black-faced Apalis
chtapa3,Chestnut-throated Apalis
rudapa1,Rudd's Apalis
butapa1,Buff-throated Apalis
shaapa2,Sharpe's Apalis
batapa2,Bar-throated Apalis
nartro1,trogon africký
battro1,trogon horský
blbfly1,Black-billed Flycatcher
tacfly1,Tawny-chested Flycatcher
souwhi1,Southern Whiteface
cowscj1,California Scrub-Jay
flsjay,Florida Scrub-Jay
mexjay3,Transvolcanic Jay
unijay1,Unicolored Jay
mexjay4,Mexican Jay
wooscj2,Woodhouse's Scrub-Jay
thtray1,Thorn-tailed Rayadito
t-11139707,Honey Bee
samsta1,Samoan Starling
brwsta1,Brown-winged Starling
metsta1,Metallic Starling
molsta1,Moluccan Starling
micsta1,Micronesian Starling
asgsta1,Asian Glossy Starling
polsta1,Polynesian Starling
rewpar1,papouškovec červenokřídlý
kinpen1,tučňák patagonský
nibkiw1,kivi hnědý
litswi1,rorýs domovní
comswi,rorýs obecný
whrswi1,rorýs kaferský
alpswi1,Alpine Swift
houswi1,rorýs domácí
fotswi,rorýs východoasijský
palswi3,rorýs šedohnědý
plaswi1,rorýs jednobarvý
spaeag1,orel iberský
goleag,orel skalní
impeag1,orel královský
steeag1,orel stepní
grgmac,ara zelený
baymac,ara ararauna
ragmac1,ara zelenokřídlý
bltmac1,ara modrohrdlý
scamac1,ara arakanga
milmac,ara vojenský
chfmac1,ara malý
yeespi1,Yellow-eared Spiderhunter
thbspi1,Thick-billed Spiderhunter
spespi2,Spectacled Spiderhunter
litspi1,Little Spiderhunter
strspi1,Streaked Spiderhunter
runwor1,chřástal středoamerický
rnwrai1,chřástal rezavokrký
gycwor1,chřástal šedokrký
sbwrai1,chřástal sarakura
brwrai1,chřástal hnědý
giwrai1,chřástal ypecaha
limpki,kurlan chřástalovitý
gocpar2,aratinga zlatohlavý
janpar1,aratinga jendaj
bkhpar,aratinga černohlavý
duhpar,aratinga tmavohlavý
